import time: self [us] | cumulative | imported package
import time:       428 |        428 |                               scipy.sparse.linalg._eigen.lobpcg.lobpcg
import time:       226 |        654 |                             scipy.sparse.linalg._eigen.lobpcg
import time:       872 |        872 |                                 scipy.sparse.linalg._propack
import time:       282 |       1154 |                               scipy.sparse.linalg._svdp
import time:      1812 |       2965 |                             scipy.sparse.linalg._eigen._svds
import time:       276 |       5883 |                           scipy.sparse.linalg._eigen
import time:       253 |        253 |                               scipy.sparse.linalg._onenormest
import time:       428 |        680 |                             scipy.sparse.linalg._expm_multiply
import time:       558 |       1238 |                           scipy.sparse.linalg._matfuncs
import time:       223 |        223 |                           scipy.sparse.linalg._norm
import time:       338 |        338 |                           scipy.sparse.linalg._funm_multiply_krylov
import time:       438 |        438 |                           scipy.sparse.linalg._special_sparse_arrays
import time:       185 |        185 |                           scipy.sparse.linalg.isolve
import time:       163 |        163 |                           scipy.sparse.linalg.dsolve
import time:       163 |        163 |                           scipy.sparse.linalg.interface
import time:       181 |        181 |                           scipy.sparse.linalg.eigen
import time:       153 |        153 |                           scipy.sparse.linalg.matfuncs
import time:       575 |      15569 |                         scipy.sparse.linalg
import time:       247 |        247 |                           scipy.optimize._dcsrch
import time:       324 |        570 |                         scipy.optimize._linesearch
import time:      1028 |       1028 |                           scipy.optimize._group_columns
import time:       399 |       1426 |                         scipy.optimize._numdiff
import time:       476 |        476 |                           scipy.optimize._hessian_update_strategy
import time:       494 |        969 |                         scipy.optimize._differentiable_functions
import time:      4008 |      22539 |                       scipy.optimize._optimize
import time:       267 |        267 |                           scipy.optimize._trustregion
import time:       234 |        500 |                         scipy.optimize._trustregion_dogleg
import time:       213 |        213 |                         scipy.optimize._trustregion_ncg
import time:      1248 |       1248 |                             scipy.optimize._trlib._trlib
import time:       210 |       1458 |                           scipy.optimize._trlib
import time:       184 |       1641 |                         scipy.optimize._trustregion_krylov
import time:       284 |        284 |                         scipy.optimize._trustregion_exact
import time:       469 |        469 |                             scipy.optimize._constraints
import time:       328 |        328 |                                   sksparse
import time:        41 |        368 |                                 sksparse.cholmod
import time:       262 |        630 |                               scipy.optimize._trustregion_constr.projections
import time:       249 |        249 |                               scipy.optimize._trustregion_constr.qp_subproblem
import time:       248 |       1125 |                             scipy.optimize._trustregion_constr.equality_constrained_sqp
import time:       297 |        297 |                             scipy.optimize._trustregion_constr.canonical_constraint
import time:       278 |        278 |                             scipy.optimize._trustregion_constr.tr_interior_point
import time:       278 |        278 |                             scipy.optimize._trustregion_constr.report
import time:       520 |       2964 |                           scipy.optimize._trustregion_constr.minimize_trustregion_constr
import time:       207 |       3171 |                         scipy.optimize._trustregion_constr
import time:       809 |        809 |                           scipy.optimize._lbfgsb
import time:       348 |       1156 |                         scipy.optimize._lbfgsb_py
import time:      1066 |       1066 |                           scipy.optimize._moduleTNC
import time:       294 |       1360 |                         scipy.optimize._tnc
import time:       372 |        372 |                         scipy.optimize._cobyla_py
import time:       197 |        197 |                         scipy.optimize._cobyqa_py
import time:      1250 |       1250 |                           scipy.optimize._slsqplib
import time:       347 |       1597 |                         scipy.optimize._slsqp_py
import time:       568 |      11054 |                       scipy.optimize._minimize
import time:       842 |        842 |                           scipy.optimize._minpack
import time:       350 |        350 |                                 scipy.optimize._lsq.common
import time:       304 |        654 |                               scipy.optimize._lsq.trf
import time:       256 |        256 |                               scipy.optimize._lsq.dogbox
import time:       501 |       1409 |                             scipy.optimize._lsq.least_squares
import time:       983 |        983 |                                 scipy.optimize._lsq.givens_elimination
import time:       554 |       1536 |                               scipy.optimize._lsq.trf_linear
import time:       267 |        267 |                               scipy.optimize._lsq.bvls
import time:       818 |       2620 |                             scipy.optimize._lsq.lsq_linear
import time:       210 |       4239 |                           scipy.optimize._lsq
import time:       533 |       5612 |                         scipy.optimize._minpack_py
import time:       269 |        269 |                         scipy.optimize._spectral
import time:      2397 |       2397 |                         scipy.optimize._nonlin
import time:       373 |       8650 |                       scipy.optimize._root
import time:       873 |        873 |                           scipy.optimize._zeros
import time:       489 |       1362 |                         scipy.optimize._zeros_py
import time:       316 |       1678 |                       scipy.optimize._root_scalar
import time:       822 |        822 |                       scipy.optimize._nnls
import time:      2065 |       2065 |                       scipy.optimize._basinhopping
import time:       186 |        186 |                             scipy.optimize._highspy
import time:      9384 |       9384 |                             scipy.optimize._highspy._core
import time:      1387 |       1387 |                             scipy.optimize._highspy._highs_options
import time:       495 |      11449 |                           scipy.optimize._highspy._highs_wrapper
import time:       276 |      11725 |                         scipy.optimize._linprog_highs
import time:      1384 |       1384 |                                 scipy.linalg._decomp_interpolative
import time:       275 |       1659 |                               scipy.linalg.interpolative
import time:       260 |       1919 |                             scipy.optimize._remove_redundancy
import time:       551 |       2470 |                           scipy.optimize._linprog_util
import time:       154 |        154 |                           sksparse
import time:       118 |        118 |                             scikits
import time:        34 |        152 |                           scikits.umfpack
import time:       397 |       3171 |                         scipy.optimize._linprog_ip
import time:       242 |        242 |                         scipy.optimize._linprog_simplex
import time:      1172 |       1172 |                           scipy.optimize._bglu_dense
import time:       292 |       1463 |                         scipy.optimize._linprog_rs
import time:       243 |        243 |                         scipy.optimize._linprog_doc
import time:       421 |      17263 |                       scipy.optimize._linprog
import time:      1032 |       1032 |                       scipy.optimize._lsap
import time:      3753 |       3753 |                       scipy.optimize._differentialevolution
import time:      1834 |       1834 |                         scipy.optimize._pava_pybind
import time:       263 |       2096 |                       scipy.optimize._isotonic
import time:       188 |        188 |                           scipy.optimize._shgo_lib
import time:      1730 |       1730 |                             _decimal
import time:       317 |       2046 |                           decimal
import time:       500 |        500 |                           scipy.optimize._shgo_lib._vertex
import time:       474 |       3206 |                         scipy.optimize._shgo_lib._complex
import time:       664 |       3869 |                       scipy.optimize._shgo
import time:      1623 |       1623 |                       scipy.optimize._dual_annealing
import time:       324 |        324 |                       scipy.optimize._qap
import time:       957 |        957 |                         scipy.optimize._direct
import time:       390 |       1347 |                       scipy.optimize._direct_py
import time:       259 |        259 |                       scipy.optimize._milp
import time:       164 |        164 |                       scipy.optimize.cobyla
import time:       165 |        165 |                       scipy.optimize.lbfgsb
import time:       159 |        159 |                       scipy.optimize.linesearch
import time:       161 |        161 |                       scipy.optimize.minpack
import time:       158 |        158 |                       scipy.optimize.minpack2
import time:       150 |        150 |                       scipy.optimize.moduleTNC
import time:       153 |        153 |                       scipy.optimize.nonlin
import time:       155 |        155 |                       scipy.optimize.optimize
import time:       157 |        157 |                       scipy.optimize.slsqp
import time:       232 |        232 |                       scipy.optimize.tnc
import time:       168 |        168 |                       scipy.optimize.zeros
import time:       805 |      80987 |                     scipy.optimize
import time:      1272 |       1272 |                     scipy.interpolate._dierckx
import time:      3546 |      85804 |                   scipy.interpolate._bsplines
import time:      6058 |      95427 |                 scipy.interpolate._fitpack_py
import time:       574 |        574 |                 scipy.interpolate._polyint
import time:      1229 |       1229 |                 scipy.interpolate._ppoly
import time:      1241 |       1241 |                 scipy.interpolate._interpnd
import time:      2659 |     101128 |               scipy.interpolate._interpolate
import time:      7050 |       7050 |               scipy.interpolate._fitpack2
import time:      1682 |       1682 |               scipy.interpolate._rbf
import time:       164 |        164 |                   scipy.interpolate._rbfinterp_common
import time:      1044 |       1044 |                   scipy.interpolate._rbfinterp_pythran
import time:       244 |       1451 |                 scipy.interpolate._rbfinterp_np
import time:       234 |        234 |                 scipy.interpolate._rbfinterp_xp
import time:      1396 |       3080 |               scipy.interpolate._rbfinterp
import time:      3682 |       3682 |               scipy.interpolate._cubic
import time:       312 |        312 |               scipy.interpolate._ndgriddata
import time:      3183 |       3183 |               scipy.interpolate._fitpack_repro
import time:       276 |        276 |               scipy.interpolate._pade
import time:      1126 |       1126 |                 scipy.interpolate._rgi_cython
import time:       865 |        865 |                 scipy.interpolate._ndbspline
import time:      1726 |       3717 |               scipy.interpolate._rgi
import time:       397 |        397 |               scipy.interpolate._bary_rational
import time:       184 |        184 |               scipy.interpolate.fitpack
import time:       171 |        171 |               scipy.interpolate.fitpack2
import time:       174 |        174 |               scipy.interpolate.interpolate
import time:       161 |        161 |               scipy.interpolate.ndgriddata
import time:       158 |        158 |               scipy.interpolate.polyint
import time:       274 |        274 |               scipy.interpolate.rbf
import time:       694 |        694 |               scipy.interpolate.interpnd
import time:       743 |     127057 |             scipy.interpolate
import time:      1261 |       1261 |               cmath
import time:       227 |        227 |               scipy.signal._arraytools
import time:       271 |        271 |               scipy.signal._polyutils
import time:      1439 |       3196 |             scipy.signal._filter_design
import time:       308 |        308 |             scipy.signal._lti_conversion
import time:       927 |     131486 |           scipy.signal._ltisys
import time:       293 |        293 |                 scipy.ndimage._ni_support
import time:       979 |        979 |                 scipy.ndimage._nd_image
import time:       313 |        313 |                 scipy.ndimage._ni_docstrings
import time:       940 |        940 |                 scipy.ndimage._rank_filter_1d
import time:      2290 |       4813 |               scipy.ndimage._filters
import time:       264 |        264 |               scipy.ndimage._fourier
import time:      1073 |       1073 |               scipy.ndimage._interpolation
import time:      1276 |       1276 |                 scipy.ndimage._ni_label
import time:       427 |        427 |                 scipy.ndimage._morphology
import time:       453 |       2155 |               scipy.ndimage._measurements
import time:       283 |       8586 |             scipy.ndimage._ndimage_api
import time:       281 |        281 |             scipy.ndimage._delegators
import time:     48644 |      57510 |           scipy.ndimage._support_alternative_backends
import time:       207 |        207 |           scipy.ndimage.filters
import time:       162 |        162 |           scipy.ndimage.fourier
import time:       159 |        159 |           scipy.ndimage.interpolation
import time:       157 |        157 |           scipy.ndimage.measurements
import time:       157 |        157 |           scipy.ndimage.morphology
import time:       378 |        378 |           scipy.signal._fir_filter_design
import time:      1108 |       1108 |           scipy.signal._sosfilt
import time:      1339 |     260330 |         scipy.signal._signaltools
import time:       389 |     260718 |       scipy.signal._spline_filters
import time:       265 |        265 |       scipy.signal._savitzky_golay
import time:      1814 |       1814 |         scipy.signal._short_time_fft
import time:      1493 |       3306 |       scipy.signal._spectral_py
import time:       299 |        299 |         scipy.signal._wavelets
import time:       639 |        639 |           scipy.stats._warnings_errors
import time:      1299 |       1299 |                 scipy.stats._distr_params
import time:      4967 |       4967 |                 scipy.integrate._quadrature
import time:      1130 |       1130 |                   scipy.integrate._odepack
import time:      1671 |       2801 |                 scipy.integrate._odepack_py
import time:      1879 |       1879 |                   scipy.integrate._quadpack
import time:      4942 |       6820 |                 scipy.integrate._quadpack_py
import time:      1041 |       1041 |                   scipy.integrate._vode
import time:       953 |        953 |                   scipy.integrate._dop
import time:     13157 |      15150 |                 scipy.integrate._ode
import time:      2007 |       2007 |                 scipy.integrate._bvp
import time:       297 |        297 |                       scipy.integrate._ivp.common
import time:       285 |        285 |                       scipy.integrate._ivp.base
import time:       418 |        999 |                     scipy.integrate._ivp.bdf
import time:       378 |        378 |                     scipy.integrate._ivp.radau
import time:       237 |        237 |                       scipy.integrate._ivp.dop853_coefficients
import time:       558 |        795 |                     scipy.integrate._ivp.rk
import time:       268 |        268 |                     scipy.integrate._ivp.lsoda
import time:      3080 |       5518 |                   scipy.integrate._ivp.ivp
import time:       232 |       5749 |                 scipy.integrate._ivp
import time:      1165 |       1165 |                 scipy.integrate._quad_vec
import time:       240 |        240 |                   scipy._lib._elementwise_iterative_method
import time:      4279 |       4518 |                 scipy.integrate._tanhsinh
import time:       411 |        411 |                     scipy.integrate._rules._base
import time:       253 |        253 |                     scipy.integrate._rules._genz_malik
import time:       314 |        314 |                       scipy.integrate._rules._gauss_legendre
import time:       230 |        543 |                     scipy.integrate._rules._gauss_kronrod
import time:       286 |       1492 |                   scipy.integrate._rules
import time:      3022 |       4513 |                 scipy.integrate._cubature
import time:       940 |        940 |                 scipy.integrate._lebedev
import time:       184 |        184 |                 scipy.integrate.dop
import time:       169 |        169 |                 scipy.integrate.lsoda
import time:       164 |        164 |                 scipy.integrate.vode
import time:       153 |        153 |                 scipy.integrate.odepack
import time:       153 |        153 |                 scipy.integrate.quadpack
import time:       184 |        184 |                 scipy.stats._finite_differences
import time:       202 |        202 |                 scipy.stats._constants
import time:       268 |        268 |                 scipy.stats._censored_data
import time:      2389 |      53786 |               scipy.stats._distn_infrastructure
import time:      3275 |       3275 |                   scipy.special.cython_special
import time:      1424 |       4699 |                 scipy.stats._stats
import time:       438 |        438 |                 scipy.stats._tukeylambda_stats
import time:       360 |        360 |                 scipy.stats._ksstats
import time:     76845 |      82341 |               scipy.stats._continuous_distns
import time:      1385 |       1385 |                 scipy.stats._biasedurn
import time:      1239 |       1239 |                 scipy.stats._stats_pythran
import time:     14939 |      17562 |               scipy.stats._discrete_distns
import time:      2053 |       2053 |                 scipy.stats._levy_stable.levyst
import time:      2462 |       4515 |               scipy.stats._levy_stable
import time:       382 |        382 |                 scipy.stats._axis_nan_policy
import time:      3894 |       4276 |               scipy.stats._entropy
import time:       512 |     162989 |             scipy.stats.distributions
import time:       228 |        228 |               scipy._lib._bunch
import time:      4001 |       4001 |               scipy.stats._stats_mstats_common
import time:      2374 |       6602 |             scipy.stats._mstats_basic
import time:       295 |        295 |               scipy.stats._common
import time:     14611 |      14906 |             scipy.stats._resampling
import time:       823 |        823 |             scipy.stats._binomtest
import time:     85543 |     270860 |           scipy.stats._stats_py
import time:      1465 |       1465 |           scipy.stats._variation
import time:      1426 |       1426 |             scipy.stats._ansari_swilk_statistics
import time:     13124 |      13124 |               scipy.stats._hypotests
import time:       479 |      13602 |             scipy.stats._wilcoxon
import time:      7670 |       7670 |             scipy.stats._fit
import time:       785 |        785 |               scipy.stats._relative_risk
import time:       537 |        537 |               scipy.stats._crosstab
import time:       294 |        294 |               scipy.stats._odds_ratio
import time:      4006 |       5620 |             scipy.stats.contingency
import time:     35285 |      63601 |           scipy.stats._morestats
import time:       366 |        366 |                 scipy.sparse.csgraph._laplacian
import time:      1322 |       1322 |                     scipy.sparse.csgraph._tools
import time:       270 |       1592 |                   scipy.sparse.csgraph._validation
import time:      1612 |       3203 |                 scipy.sparse.csgraph._shortest_path
import time:      1314 |       1314 |                 scipy.sparse.csgraph._traversal
import time:      1157 |       1157 |                 scipy.sparse.csgraph._min_spanning_tree
import time:      1250 |       1250 |                 scipy.sparse.csgraph._flow
import time:      1903 |       1903 |                 scipy.sparse.csgraph._matching
import time:      1862 |       1862 |                 scipy.sparse.csgraph._reordering
import time:       473 |      11524 |               scipy.sparse.csgraph
import time:      1447 |       1447 |               scipy.stats._sobol
import time:      1283 |       1283 |               scipy.stats._qmc_cy
import time:      1581 |      15833 |             scipy.stats._qmc
import time:      2082 |      17914 |           scipy.stats._multicomp
import time:      3501 |       3501 |           scipy.stats._binned_statistic
import time:       459 |        459 |               scipy.stats._covariance
import time:      1216 |       1216 |                 scipy.stats._rcont.rcont
import time:       221 |       1436 |               scipy.stats._rcont
import time:      1851 |       1851 |                 scipy.stats._qmvnt_cy
import time:       310 |       2161 |               scipy.stats._qmvnt
import time:      5627 |       9682 |             scipy.stats._multivariate
import time:       422 |      10103 |           scipy.stats._kde
import time:       322 |        322 |             scipy.stats._mstats_extras
import time:       293 |        614 |           scipy.stats.mstats
import time:       184 |        184 |           scipy.stats.qmc
import time:      2322 |       2322 |           scipy.stats._page_trend_test
import time:      2941 |       2941 |           scipy.stats._mannwhitneyu
import time:      1150 |       1150 |           scipy.stats._bws_test
import time:      3285 |       3285 |           scipy.stats._sensitivity_analysis
import time:      4043 |       4043 |           scipy.stats._survival
import time:       326 |        326 |             scipy.optimize._bracket
import time:       280 |        280 |             scipy.optimize._chandrupatla
import time:       353 |        353 |             scipy.stats._probability_distribution
import time:      5852 |       6810 |           scipy.stats._distribution_infrastructure
import time:     21413 |      21413 |           scipy.stats._new_distributions
import time:      1764 |       1764 |           scipy.stats._mgc
import time:      4798 |       4798 |           scipy.stats._correlation
import time:      1749 |       1749 |           scipy.stats._quantile
import time:       207 |        207 |           scipy.stats.biasedurn
import time:       172 |        172 |           scipy.stats.kde
import time:       177 |        177 |           scipy.stats.morestats
import time:       187 |        187 |           scipy.stats.mstats_basic
import time:       165 |        165 |           scipy.stats.mstats_extras
import time:       159 |        159 |           scipy.stats.mvn
import time:       186 |        186 |           scipy.stats.stats
import time:      1243 |     421639 |         scipy.stats
import time:      1256 |       1256 |         scipy.signal._peak_finding_utils
import time:       396 |     423590 |       scipy.signal._peak_finding
import time:       284 |        284 |       scipy.signal._czt
import time:       550 |     872635 |     scipy.signal._signal_api
import time:       554 |        554 |     scipy.signal._delegators
import time:    102891 |    1241443 |   scipy.signal._support_alternative_backends
import time:       258 |        258 |   scipy.signal.bsplines
import time:       207 |        207 |   scipy.signal.filter_design
import time:       210 |        210 |   scipy.signal.fir_filter_design
import time:       191 |        191 |   scipy.signal.lti_conversion
import time:       164 |        164 |   scipy.signal.ltisys
import time:       155 |        155 |   scipy.signal.spectral
import time:       164 |        164 |   scipy.signal.signaltools
import time:       198 |        198 |   scipy.signal.waveforms
import time:       156 |        156 |   scipy.signal.wavelets
import time:       152 |        152 |   scipy.signal.spline
import time:       530 |    1387905 | scipy.signal
