import time: self [us] | cumulative | imported package
import time:       519 |        519 |         numpy.lib._shape_base_impl
import time:      1113 |       1113 |         numpy.lib._arraysetops_impl
import time:      1822 |       1822 |         numpy.lib._polynomial_impl
import time:       254 |        254 |         numpy.lib._arrayterator_impl
import time:       330 |        330 |         numpy.lib._arraypad_impl
import time:       218 |        218 |         numpy.lib._version
import time:       894 |      42952 |       numpy.lib
import time:       227 |        227 |       numpy._array_api_info
import time:      3170 |     110301 |     numpy
import time:       550 |        550 |     scipy.__config__
import time:       171 |        171 |     scipy.version
import time:        54 |         54 |       scipy._distributor_init_local
import time:       195 |        248 |     scipy._distributor_init
import time:       556 |        556 |               _opcode
import time:       696 |       1252 |             opcode
import time:      1127 |       2378 |           dis
import time:       145 |        145 |           importlib.machinery
import time:       369 |        369 |               token
import time:        53 |         53 |               _tokenize
import time:      1250 |       1671 |             tokenize
import time:       420 |       2091 |           linecache
import time:      3562 |       8175 |         inspect
import time:       383 |        383 |           fnmatch
import time:        71 |         71 |           errno
import time:      1821 |       1821 |           zlib
import time:       400 |        400 |             _compression
import time:       737 |        737 |             _bz2
import time:       563 |       1698 |           bz2
import time:       953 |        953 |             _lzma
import time:       428 |       1380 |           lzma
import time:      1136 |       6487 |         shutil
import time:        94 |         94 |             _locale
import time:      1077 |       1170 |           locale
import time:       771 |        771 |           signal
import time:       895 |        895 |           threading
import time:       522 |        522 |           fcntl
import time:       202 |        202 |           msvcrt
import time:       654 |        654 |           _posixsubprocess
import time:       679 |        679 |           select
import time:       949 |        949 |           selectors
import time:      1120 |       6958 |         subprocess
import time:       787 |        787 |         sysconfig
import time:       368 |        368 |           importlib._abc
import time:       156 |        523 |         importlib.util
import time:       139 |        139 |         cython
import time:      1113 |       1113 |         _sysconfigdata__darwin_darwin
import time:       384 |        384 |         _osx_support
import time:      1350 |      25912 |       scipy._lib._testutils
import time:       186 |      26098 |     scipy._lib
import time:      3152 |       3152 |     scipy._lib._pep440
import time:       742 |        742 |         scipy._cyutility
import time:       821 |       1562 |       scipy._lib._ccallback_c
import time:       357 |       1918 |     scipy._lib._ccallback
import time:       694 |     144084 |   scipy
import time:       381 |        381 |         copy
import time:       991 |       1371 |       dataclasses
import time:       631 |        631 |         numpy._typing._add_docstring
import time:       224 |        855 |       numpy.typing
import time:      1168 |       1168 |             scipy._lib.array_api_compat.common._typing
import time:       637 |       1804 |           scipy._lib.array_api_compat.common._helpers
import time:       288 |       2092 |         scipy._lib.array_api_compat.common
import time:       213 |       2305 |       scipy._lib.array_api_compat
import time:       224 |        224 |         scipy._lib.array_api_compat._internal
import time:       836 |        836 |               numpy.random._common
import time:       674 |        674 |                   binascii
import time:       455 |       1129 |                 base64
import time:      5167 |       5167 |                   _hashlib
import time:       655 |        655 |                     _blake2
import time:       499 |       1153 |                   hashlib
import time:       463 |       6782 |                 hmac
import time:       533 |        533 |                     _bisect
import time:       377 |        909 |                   bisect
import time:       537 |        537 |                   _random
import time:       560 |        560 |                   _sha2
import time:       760 |       2765 |                 random
import time:       358 |      11032 |               secrets
import time:       929 |      12796 |             numpy.random.bit_generator
import time:       649 |        649 |               numpy.random._bounded_integers
import time:       655 |        655 |               numpy.random._mt19937
import time:      1576 |       2878 |             numpy.random.mtrand
import time:       780 |        780 |             numpy.random._philox
import time:       688 |        688 |             numpy.random._pcg64
import time:       641 |        641 |             numpy.random._sfc64
import time:      1430 |       1430 |             numpy.random._generator
import time:       875 |      20085 |           numpy.random._pickle
import time:       326 |      20410 |         numpy.random
import time:       412 |        412 |               numpy._core.strings
import time:       270 |        682 |             numpy.strings
import time:       829 |       1511 |           numpy._core.defchararray
import time:       232 |       1742 |         numpy.char
import time:       831 |        831 |             numpy.polynomial.polyutils
import time:       727 |        727 |             numpy.polynomial._polybase
import time:      1184 |       2741 |           numpy.polynomial.polynomial
import time:       451 |        451 |           numpy.polynomial.chebyshev
import time:       400 |        400 |           numpy.polynomial.legendre
import time:      1216 |       1216 |           numpy.polynomial.hermite
import time:       420 |        420 |           numpy.polynomial.hermite_e
import time:       396 |        396 |           numpy.polynomial.laguerre
import time:       338 |       5959 |         numpy.polynomial
import time:       457 |        457 |         numpy.ctypeslib
import time:       294 |        294 |           numpy.core._utils
import time:       221 |        514 |         numpy.core
import time:       984 |        984 |               traceback
import time:       420 |        420 |               unittest.util
import time:       504 |       1907 |             unittest.result
import time:       582 |        582 |                   _heapq
import time:       417 |        999 |                 heapq
import time:      1234 |       2232 |               difflib
import time:       555 |        555 |               pprint
import time:      1023 |       3809 |             unittest.case
import time:       469 |        469 |             unittest.suite
import time:       768 |        768 |             unittest.loader
import time:      1023 |       1023 |                 gettext
import time:      1221 |       2244 |               argparse
import time:       497 |        497 |                 unittest.signals
import time:      1465 |       1962 |               unittest.runner
import time:       412 |       4616 |             unittest.main
import time:       407 |      11973 |           unittest
import time:       286 |        286 |           numpy.testing._private
import time:       133 |        133 |                 _winapi
import time:       120 |        120 |                 nt
import time:       143 |        143 |                 nt
import time:       112 |        112 |                 nt
import time:       110 |        110 |                 nt
